Dealer Code,Dealer Name,State,City,Credit Days,Active Status,total_revenue,total_quantity,last_order_date,first_order_date,order_count,has_active_sauda,sku_diversity,days_since_last_order,avg_order_value,open_order_value,oo_total_qty,oo_dispatched_qty,pending_dispatch_qty,open_order_count,dispatch_ratio,outstanding_amount,amount_collected,pp_total_order_value,pending_invoice_count,collection_ratio,pending_collection_pct,is_dormant,is_reactivation_candidate,is_high_value,actions,priority_score
DLR1138,Dealer_1138,Maharashtra,Lucknow,35,Active,602473,3601,2026-03-09,2025-04-20,22,False,4,42,27385.136363636364,8845.0,61.0,45.0,16.0,1.0,0.7377049180327869,29766.04,67503.95999999999,97270.0,3.0,0.6939854014598539,0.306014598540146,True,False,True,"['Call dealer', 'Follow up for collection', 'Follow up for dispatch']",78.22250563934426
DLR1388,Dealer_1388,Jharkhand,Lucknow,35,Active,621324,3634,2026-02-25,2025-04-24,23,False,4,54,27014.08695652174,16254.0,86.0,74.0,12.0,1.0,0.8604651162790697,50531.649999999994,50590.350000000006,101122.0,3.0,0.5002902434682859,0.4997097565317141,True,False,True,"['Call dealer', 'Follow up for collection']",77.8438626744186
DLR1330,Dealer_1330,Jharkhand,Kolkata,21,Active,570696,3485,2026-03-19,2025-04-07,21,True,4,32,27176.0,17670.0,95.0,82.0,13.0,1.0,0.8631578947368421,41845.95,67890.05,109736.0,3.0,0.6186670737041627,0.38133292629583726,True,False,True,"['Call dealer', 'Follow up for collection', 'Renew / extend sauda']",76.92143710526315
DLR1377,Dealer_1377,UP,Bengaluru,21,Active,616904,3751,2026-03-12,2025-04-09,19,False,4,39,32468.63157894737,0.0,,,0.0,0.0,0.0,64878.87,110188.13,175067.0,4.0,0.6294054847572644,0.3705945152427357,True,False,True,"['Call dealer', 'Follow up for collection']",76.487887
DLR1020,Dealer_1020,Gujarat,Kolkata,21,Active,674254,4142,2026-03-17,2025-04-30,24,False,4,34,28093.916666666668,20049.0,122.0,100.0,22.0,2.0,0.819672131147541,26489.44,36296.56,62786.0,3.0,0.5780995763386741,0.42190042366132574,True,False,True,"['Call dealer', 'Follow up for collection']",76.25550137704917
DLR1081,Dealer_1081,Jharkhand,Bhubaneswar,21,Active,590873,3463,2026-03-04,2025-04-01,18,False,4,47,32826.27777777778,44064.0,308.0,294.0,14.0,2.0,0.9545454545454546,46176.84,43228.16,89405.0,2.0,0.4835094234103238,0.5164905765896761,True,False,True,"['Call dealer', 'Follow up for collection']",75.5267749090909
DLR1380,Dealer_1380,Karnataka,Jaipur,35,Active,616714,3725,2026-02-14,2025-04-23,21,False,4,65,29367.333333333332,53188.0,324.0,280.0,44.0,3.0,0.8641975308641975,25375.309999999998,33016.69,58392.0,2.0,0.5654317372242773,0.43456826277572264,True,False,True,"['Call dealer', 'Follow up for collection']",75.25358038271605
DLR1253,Dealer_1253,Odisha,Ranchi,14,Active,672034,4002,2026-01-28,2025-04-02,23,False,4,82,29218.869565217392,136309.0,782.0,698.0,84.0,6.0,0.8925831202046036,29568.94,32526.06,62095.0,3.0,0.5238112569450036,0.47618874305499637,True,False,True,"['Call dealer', 'Follow up for collection']",75.10523159590792
DLR1297,Dealer_1297,Odisha,Kolkata,14,Active,568097,3455,2026-03-14,2025-04-07,24,False,4,37,23670.708333333332,47148.0,273.0,236.0,37.0,3.0,0.8644688644688645,21718.86,25525.14,47244.0,1.0,0.5402832105664211,0.45971678943357885,True,False,True,"['Call dealer', 'Follow up for collection']",74.88250871062272
DLR1374,Dealer_1374,MP,Kolkata,35,Active,604580,3815,2026-03-06,2025-04-02,23,False,4,45,26286.08695652174,88000.0,547.0,522.0,25.0,3.0,0.9542961608775137,39107.729999999996,42988.270000000004,82096.0,2.0,0.5236341600077958,0.4763658399922042,True,False,True,"['Call dealer', 'Follow up for collection']",74.82484978244972
DLR1393,Dealer_1393,Rajasthan,Ranchi,21,Active,711217,4317,2026-02-12,2025-04-01,23,False,4,67,30922.478260869564,64062.0,418.0,392.0,26.0,2.0,0.937799043062201,33895.96,23919.04,57815.0,2.0,0.4137168554873303,0.5862831445126697,True,False,True,"['Call dealer', 'Follow up for collection']",74.63361513875597
DLR1215,Dealer_1215,MP,Nagpur,35,Active,574329,3517,2026-03-02,2025-04-02,19,False,4,49,30227.842105263157,34547.0,193.0,189.0,4.0,1.0,0.9792746113989638,42037.42,45340.58,87378.0,3.0,0.5189015541669528,0.4810984458330472,True,False,True,"['Call dealer', 'Follow up for collection']",74.61824977202073
DLR1033,Dealer_1033,Assam,Guwahati,35,Active,615865,3832,2026-03-01,2025-04-12,23,False,4,50,26776.739130434784,29216.0,166.0,148.0,18.0,1.0,0.891566265060241,23187.05,33623.95,56811.0,2.0,0.5918563306401928,0.40814366935980706,True,False,True,"['Call dealer', 'Follow up for collection']",74.48737969879518
DLR1379,Dealer_1379,Gujarat,Lucknow,35,Active,607585,3723,2026-03-01,2025-05-17,21,False,4,50,28932.619047619046,44035.0,281.0,273.0,8.0,2.0,0.9715302491103203,38938.479999999996,52878.520000000004,91817.0,3.0,0.5759120859971465,0.42408791400285345,True,False,True,"['Call dealer', 'Follow up for collection']",74.46324301779359
DLR1165,Dealer_1165,West Bengal,Ahmedabad,35,Active,589634,3651,2026-03-06,2025-04-04,19,False,4,45,31033.36842105263,86744.0,518.0,494.0,24.0,3.0,0.9536679536679536,31283.07,84456.93,115740.0,3.0,0.7297125453602903,0.2702874546397097,True,False,True,"['Call dealer', 'Follow up for collection']",74.05494792664092
DLR1211,Dealer_1211,Gujarat,Nagpur,14,Active,597856,3689,2026-03-16,2025-04-01,23,False,4,35,25993.739130434784,29237.0,169.0,169.0,0.0,1.0,1.0,38791.7,64608.3,103400.0,4.0,0.6248384912959382,0.37516150870406184,True,False,True,"['Call dealer', 'Follow up for collection']",73.87917
DLR1152,Dealer_1152,Bihar,Kolkata,35,Active,564587,3522,2026-03-02,2025-04-03,22,False,4,49,25663.045454545456,16611.0,113.0,101.0,12.0,1.0,0.8938053097345132,16410.53,21882.47,38293.0,3.0,0.5714483064789909,0.428551693521009,True,False,True,"['Call dealer', 'Follow up for collection']",73.76494680530973
DLR1173,Dealer_1173,Karnataka,Jaipur,35,Active,616755,3696,2026-03-14,2025-04-07,23,False,4,37,26815.434782608696,9955.0,55.0,50.0,5.0,1.0,0.9090909090909091,19011.18,62033.82,81045.0,2.0,0.7654243938552656,0.2345756061447344,True,False,True,"['Call dealer', 'Follow up for collection']",73.71929981818181
DLR1433,Dealer_1433,Maharashtra,Jaipur,35,Active,665937,4217,2026-02-25,2025-04-14,22,False,4,54,30269.863636363636,44597.0,277.0,267.0,10.0,1.0,0.9638989169675091,29335.5,61208.5,90544.0,3.0,0.6760083495317194,0.3239916504682806,True,False,True,"['Call dealer', 'Follow up for collection']",73.65557166064981
DLR1183,Dealer_1183,Bihar,Chennai,21,Active,573232,3617,2026-03-19,2025-04-07,22,False,4,32,26056.0,35520.0,222.0,214.0,8.0,1.0,0.963963963963964,28532.9,65401.1,93934.0,3.0,0.6962452360167777,0.30375476398322226,True,False,True,"['Call dealer', 'Follow up for collection']",73.57401072072072
DLR1251,Dealer_1251,Jharkhand,Kolkata,35,Active,579248,3675,2026-03-15,2025-05-16,22,False,4,36,26329.454545454544,81580.0,530.0,502.0,28.0,2.0,0.9471698113207547,23513.72,44088.28,67602.0,3.0,0.6521741960297033,0.3478258039702968,True,False,True,"['Call dealer', 'Follow up for collection']",73.4079757735849
DLR1172,Dealer_1172,Karnataka,Nagpur,21,Active,639063,3812,2026-03-15,2025-04-09,23,False,4,36,27785.347826086956,143949.0,869.0,820.0,49.0,4.0,0.9436133486766398,20203.07,51900.93,72104.0,2.0,0.7198065294574504,0.28019347054254967,True,False,True,"['Call dealer', 'Follow up for collection']",73.14804002646721
DLR1376,Dealer_1376,Assam,Guwahati,14,Active,660251,3953,2026-02-24,2025-05-03,24,False,4,55,27510.458333333332,33108.0,178.0,166.0,12.0,2.0,0.9325842696629213,17629.3,47324.7,64954.0,3.0,0.7285879237614311,0.27141207623856883,True,False,True,"['Call dealer', 'Follow up for collection']",73.11124460674156
DLR1321,Dealer_1321,Karnataka,Guwahati,21,Active,587279,3535,2026-03-06,2025-05-17,21,False,4,45,27965.666666666668,26048.0,176.0,166.0,10.0,1.0,0.9431818181818182,19574.15,33320.85,52895.0,2.0,0.6299432838642594,0.37005671613574065,True,False,True,"['Call dealer', 'Follow up for collection']",73.09377863636362
DLR1238,Dealer_1238,Karnataka,Lucknow,21,Active,618541,3812,2026-01-25,2025-05-13,23,False,4,85,26893.08695652174,35912.0,208.0,188.0,20.0,2.0,0.9038461538461539,10904.4,34005.6,44910.0,2.0,0.7571943887775551,0.24280561122244487,True,False,True,"['Call dealer', 'Follow up for collection']",73.01351692307692
DLR1233,Dealer_1233,Tamil Nadu,Kolkata,21,Active,641066,3923,2026-03-17,2025-04-05,22,True,4,34,29139.363636363636,0.0,,,0.0,0.0,0.0,26918.5,60863.5,87782.0,3.0,0.6933482946389921,0.30665170536100794,True,False,True,"['Call dealer', 'Follow up for collection', 'Renew / extend sauda']",72.69185
DLR1495,Dealer_1495,Maharashtra,Lucknow,14,Active,703462,4175,2026-03-16,2025-04-02,23,False,4,35,30585.304347826088,0.0,,,0.0,0.0,0.0,25825.690000000002,45083.31,70909.0,2.0,0.635791084347544,0.364208915652456,True,False,True,"['Call dealer', 'Follow up for collection']",72.582569
