ORDERNUMBER,QUANTITYORDERED,PRICEEACH,Stock value,SALES,Profit,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,PRODUCTCODE,CUSTOMERNAME,PHONE,CITY,STATE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10107,30,95.7,2871,2871,0,2/24/2003 0:00,Shipped,1,2,2003,Motorcycles,S10_1678,Land of Toys Inc.,2125557818,NYC,NY,USA,Yu,Kwai,Small
10121,34,81.35,2765.9,2765.9,0,05-07-2003 00:00,Shipped,2,5,2003,Motorcycles,S10_1678,Reims Collectables,26.47.1555,Reims,Reims,France,Henriot,Paul,Small
10134,41,94.74,3884.34,3884.34,0,07-01-2003 00:00,Shipped,3,7,2003,Motorcycles,S10_1678,Lyon Souveniers,+33 1 46 62 7555,Paris,Paris,France,Da Cunha,Daniel,Medium
10145,45,83.26,3746.7,3746.7,0,8/25/2003 0:00,Shipped,3,8,2003,Motorcycles,S10_1678,Toys4GrownUps.com,6265557265,Pasadena,CA,USA,Young,Julie,Medium
10159,49,100,4900,5205.27,305.27,10-10-2003 00:00,Shipped,4,10,2003,Motorcycles,S10_1678,Corporate Gift Ideas Co.,6505551386,San Francisco,CA,USA,Brown,Julie,Medium
10168,36,96.66,3479.76,3479.76,0,10/28/2003 0:00,Shipped,4,10,2003,Motorcycles,S10_1678,Technics Stores Inc.,6505556809,Burlingame,CA,USA,Hirano,Juri,Medium
10180,29,86.13,2497.77,2497.77,0,11-11-2003 00:00,Shipped,4,11,2003,Motorcycles,S10_1678,Daedalus Designs Imports,20.16.1555,Lille,Lille,France,Rance,Martine,Small
10188,48,100,4800,5512.32,712.32,11/18/2003 0:00,Shipped,4,11,2003,Motorcycles,S10_1678,Herkku Gifts,+47 2267 3215,Bergen,Bergen,Norway,Oeztan,Veysel,Medium
10201,22,98.57,2168.54,2168.54,0,12-01-2003 00:00,Shipped,4,12,2003,Motorcycles,S10_1678,Mini Wheels Co.,6505555787,San Francisco,CA,USA,Murphy,Julie,Small
10211,41,100,4100,4708.44,608.44,1/15/2004 0:00,Shipped,1,1,2004,Motorcycles,S10_1678,Auto Canal Petit,(1) 47.55.6555,Paris,Paris,France,Perrier,Dominique,Medium
10223,37,100,3700,3965.66,265.66,2/20/2004 0:00,Shipped,1,2,2004,Motorcycles,S10_1678,"Australian Collectors, Co.",03 9520 4555,Melbourne,Victoria,Australia,Ferguson,Peter,Medium
10237,23,100,2300,2333.12,33.12,04-05-2004 00:00,Shipped,2,4,2004,Motorcycles,S10_1678,Vitachrome Inc.,2125551500,NYC,NY,USA,Frick,Michael,Small
10251,28,100,2800,3188.64,388.64,5/18/2004 0:00,Shipped,2,5,2004,Motorcycles,S10_1678,Tekni Collectables Inc.,2015559350,Newark,NJ,USA,Brown,William,Medium
10263,34,100,3400,3676.76,276.76,6/28/2004 0:00,Shipped,2,6,2004,Motorcycles,S10_1678,Gift Depot Inc.,2035552570,Bridgewater,CT,USA,King,Julie,Medium
10275,45,92.83,4177.35,4177.35,0,7/23/2004 0:00,Shipped,3,7,2004,Motorcycles,S10_1678,La Rochelle Gifts,40.67.8555,Nantes,Nantes,France,Labrune,Janine,Medium
10285,36,100,3600,4099.68,499.68,8/27/2004 0:00,Shipped,3,8,2004,Motorcycles,S10_1678,Marta's Replicas Co.,6175558555,Cambridge,MA,USA,Hernandez,Marta,Medium
10299,23,100,2300,2597.39,297.39,9/30/2004 0:00,Shipped,3,9,2004,Motorcycles,S10_1678,"Toys of Finland, Co.",90-224 8555,Helsinki,Helsinki,Finland,Karttunen,Matti,Small
10309,41,100,4100,4394.38,294.38,10/15/2004 0:00,Shipped,4,10,2004,Motorcycles,S10_1678,Baane Mini Imports,07-98 9555,Stavern,Stavern,Norway,Bergulfsen,Jonas,Medium
10318,46,94.74,4358.04,4358.04,0,11-02-2004 00:00,Shipped,4,11,2004,Motorcycles,S10_1678,Diecast Classics Inc.,2155551555,Allentown,PA,USA,Yu,Kyung,Medium
10329,42,100,4200,4396.14,196.14,11/15/2004 0:00,Shipped,4,11,2004,Motorcycles,S10_1678,Land of Toys Inc.,2125557818,NYC,NY,USA,Yu,Kwai,Medium
10341,41,100,4100,7737.93,3637.93,11/24/2004 0:00,Shipped,4,11,2004,Motorcycles,S10_1678,Salzburg Collectables,6562-9555,Salzburg,Salzburg,Austria,Pipps,Georg,Large
10361,20,72.55,1451,1451,0,12/17/2004 0:00,Shipped,4,12,2004,Motorcycles,S10_1678,Souveniers And Things Co.,+61 2 9495 8555,Chatswood,NSW,Australia,Huxley,Adrian,Small
10375,21,34.91,733.11,733.11,0,02-03-2005 00:00,Shipped,1,2,2005,Motorcycles,S10_1678,La Rochelle Gifts,40.67.8555,Nantes,Nantes,France,Labrune,Janine,Small
10388,42,76.36,3207.12,3207.12,0,03-03-2005 00:00,Shipped,1,3,2005,Motorcycles,S10_1678,FunGiftIdeas.com,5085552555,New Bedford,MA,USA,Benitez,Violeta,Medium
10403,24,100,2400,2434.56,34.56,04-08-2005 00:00,Shipped,2,4,2005,Motorcycles,S10_1678,"UK Collectables, Ltd.",(171) 555-2282,Liverpool,Liverpool,UK,Devon,Elizabeth,Small
10417,66,100,6600,7516.08,916.08,5/13/2005 0:00,Disputed,2,5,2005,Motorcycles,S10_1678,Euro Shopping Channel,(91) 555 94 44,Madrid,Madrid,Spain,Freyre,Diego,Large
10103,26,100,2600,5404.62,2804.62,1/29/2003 0:00,Shipped,1,1,2003,Classic Cars,S10_1949,Baane Mini Imports,07-98 9555,Stavern,Stavern,Norway,Bergulfsen,Jonas,Medium
10112,29,100,2900,7209.11,4309.11,3/24/2003 0:00,Shipped,1,3,2003,Classic Cars,S10_1949,"Volvo Model Replicas, Co",0921-12 3555,Lule,Lule,Sweden,Berglund,Christina,Large
10126,38,100,3800,7329.06,3529.06,5/28/2003 0:00,Shipped,2,5,2003,Classic Cars,S10_1949,"Corrida Auto Replicas, Ltd",(91) 555 22 82,Madrid,Madrid,Spain,Sommer,Mart¡n,Large
10140,37,100,3700,7374.1,3674.1,7/24/2003 0:00,Shipped,3,7,2003,Classic Cars,S10_1949,Technics Stores Inc.,6505556809,Burlingame,CA,USA,Hirano,Juri,Large
10150,45,100,4500,10993.5,6493.5,9/19/2003 0:00,Shipped,3,9,2003,Classic Cars,S10_1949,"Dragon Souveniers, Ltd.",+65 221 7555,Singapore,Singapore,Singapore,Natividad,Eric,Large
10163,21,100,2100,4860.24,2760.24,10/20/2003 0:00,Shipped,4,10,2003,Classic Cars,S10_1949,Classic Legends Inc.,2125558493,NYC,NY,USA,Hernandez,Maria,Medium
10174,34,100,3400,8014.82,4614.82,11-06-2003 00:00,Shipped,4,11,2003,Classic Cars,S10_1949,"Australian Gift Network, Co",61-7-3844-6555,South Brisbane,Queensland,Australia,Calaghan,Tony,Large
